Date (mm/dd/yyyy),Time,Num Satellites,Position Uncertainty (m),Latitude (Deg N),Longitude (Deg W),Speed (kts),Heading (Deg N),Course (Deg N),Volts port,Amps port,charge (%) port,StatorTemp (C) port,PCB Temp (C) port,Error Code port,Volts stbd,Amps stbd,charge (%) stbd,StatorTemp (C) stbd,PCB Temp (C) stbd,Error Code stbd
4/22/2021,10:41:29,16,0.7,30.35063,-89.63011,2.24,132.2,137.3,28.1,0.7,92,37,25, 0x0,27.8,18.1,5b,32,24, 0x0
4/22/2021,10:41:30,16,0.7,30.35062,-89.6301,2.17,124.3,128.5,28.1,0,92,37,25, 0x0,28,10.3,5b,32,24, 0x0
4/22/2021,10:41:31,16,0.7,30.35061,-89.63009,2.33,119,123.6,28.1,0,92,37,24, 0x0,27.9,11.9,5b,32,24, 0x0
4/22/2021,10:41:32,16,0.7,30.35061,-89.63008,2.57,113.4,117.8,28.1,0.1,92,37,24, 0x0,27.8,18.9,5b,32,24, 0x0
4/22/2021,10:41:33,16,0.7,30.3506,-89.63007,2.85,107.3,111,28.1,0.4,92,37,24, 0x0,27.8,21.5,5b,32,24, 0x0
4/22/2021,10:41:34,16,0.7,30.3506,-89.63005,3.12,102,104.8,28.1,1.6,92,37,24, 0x0,27.8,21.6,5b,32,24, 0x0
4/22/2021,10:41:35,16,0.7,30.35059,-89.63004,3.27,97.3,102.8,28,4.9,92,37,24, 0x0,27.8,23.3,5b,32,24, 0x0
4/22/2021,10:41:36,16,0.7,30.35059,-89.63002,3.49,92.4,97.9,27.9,13.5,92,37,24, 0x0,27.9,13.8,5b,33,24, 0x0
4/22/2021,10:41:37,16,0.7,30.35059,-89.63,3.7,89.1,93.8,27.8,18,92,37,24, 0x0,27.8,16,5b,33,24, 0x0
4/22/2021,10:41:38,16,0.7,30.35059,-89.62998,3.84,86.1,90.6,27.8,18.6,92,37,24, 0x0,27.8,16.9,5b,33,24, 0x0
4/22/2021,10:41:39,16,0.7,30.35059,-89.62995,3.96,83.1,86.6,27.8,20.5,92,37,24, 0x0,27.8,18.8,5b,33,24, 0x0
4/22/2021,10:41:40,16,0.7,30.35059,-89.62993,4.1,80.8,83.7,27.8,21.5,92,37,24, 0x0,27.8,19.4,5b,33,24, 0x0
4/22/2021,10:41:41,16,0.7,30.35059,-89.62991,4.21,79.2,81.9,27.8,21.8,92,37,24, 0x0,27.8,19.6,5b,33,24, 0x0
4/22/2021,10:41:42,16,0.7,30.3506,-89.62988,4.3,77.8,80,27.8,21.8,92,37,25, 0x0,27.8,20.1,5b,33,24, 0x0
4/22/2021,10:41:43,16,0.7,30.3506,-89.62986,4.35,76.8,78.9,27.8,22,92,37,25, 0x0,27.8,20.1,5b,33,24, 0x0
4/22/2021,10:41:44,16,0.7,30.3506,-89.62984,4.35,76.2,77.7,27.7,22.2,92,38,25, 0x0,27.8,20.3,5b,33,24, 0x0
4/22/2021,10:41:45,16,0.7,30.35061,-89.62981,4.4,75.9,77.1,27.7,22.2,92,38,25, 0x0,27.7,20.9,5b,33,24, 0x0
4/22/2021,10:41:47,16,0.7,30.35061,-89.62979,4.45,75.7,76.4,27.7,22.8,92,38,25, 0x0,27.7,20.7,5b,33,24, 0x0
4/22/2021,10:41:48,16,0.7,30.35062,-89.62976,4.49,75.7,76.3,27.8,21.6,92,38,26, 0x0,27.8,20.3,5b,33,24, 0x0
4/22/2021,10:41:49,16,0.7,30.35063,-89.62974,4.51,75.8,76.3,27.7,21.6,92,38,26, 0x0,27.8,20.2,5b,34,24, 0x0
4/22/2021,10:41:50,16,0.7,30.35063,-89.62971,4.5,76.1,76.2,27.8,21.7,92,38,26, 0x0,27.8,19.5,5b,34,24, 0x0
4/22/2021,10:41:51,16,0.7,30.35064,-89.62969,4.48,76.5,76.7,27.8,21.5,92,38,26, 0x0,27.8,20.1,5b,34,24, 0x0
4/22/2021,10:41:52,16,0.7,30.35064,-89.62966,4.49,76.9,77,27.8,21.8,92,38,26, 0x0,27.7,20.7,5b,34,24, 0x0
4/22/2021,10:41:53,16,0.6,30.35065,-89.62964,4.53,77.3,77.3,27.8,21.7,92,38,26, 0x0,27.7,20.1,5b,34,24, 0x0
4/22/2021,10:41:54,16,0.6,30.35065,-89.62961,4.56,78,77.9,27.8,21.3,92,38,26, 0x0,27.8,19.7,5b,34,24, 0x0
4/22/2021,10:41:55,16,0.6,30.35066,-89.62959,4.57,78.8,78.7,27.8,20.3,92,38,26, 0x0,27.8,19.2,5b,34,24, 0x0
4/22/2021,10:41:56,16,0.6,30.35066,-89.62956,4.55,79.6,79.8,27.8,20.2,92,38,26, 0x0,27.8,18.9,5b,34,24, 0x0
4/22/2021,10:41:57,16,0.6,30.35066,-89.62954,4.52,80.5,80.8,27.8,19.8,92,39,26, 0x0,27.8,19.4,5b,34,24, 0x0
4/22/2021,10:41:58,16,0.6,30.35067,-89.62951,4.48,81.8,82,27.8,20.4,92,39,26, 0x0,27.8,19.3,5b,34,24, 0x0
4/22/2021,10:41:59,16,0.6,30.35067,-89.62949,4.46,83,83.6,27.8,20.8,92,39,26, 0x0,27.8,19.4,5b,34,24, 0x0
4/22/2021,10:42:00,16,0.7,30.35067,-89.62946,4.48,83.6,84.6,27.8,21,92,39,26, 0x0,27.8,19.9,5b,34,24, 0x0
4/22/2021,10:42:01,16,0.6,30.35067,-89.62944,4.4,84.1,84.7,27.8,20.5,92,39,26, 0x0,27.8,19.3,5b,35,24, 0x0
4/22/2021,10:42:02,16,0.7,30.35068,-89.62942,3.09,84.9,85.5,28.1,0,92,39,26, 0x0,28.1,0,5b,35,24, 0x0
4/22/2021,10:42:03,16,0.7,30.35068,-89.6294,2.38,86.1,87.5,28.1,0,92,39,26, 0x0,28.1,0,5b,35,24, 0x0
4/22/2021,10:42:04,16,0.7,30.35068,-89.62939,1.81,87.3,90.4,28.1,0,92,39,26, 0x0,28.1,0,5b,35,23, 0x0
4/22/2021,10:42:05,16,0.7,30.35068,-89.62938,1.52,88.2,94.9,28.1,0,92,39,26, 0x0,28.1,0,5b,34,23, 0x0
4/22/2021,10:42:07,16,0.7,30.35068,-89.62937,1.33,89.3,97.3,28.1,0,92,39,25, 0x0,28.1,0,5b,35,23, 0x0
4/22/2021,10:42:08,16,0.7,30.35067,-89.62937,1.09,91.2,101.8,28.1,0,92,39,25, 0x0,28.1,0,5b,34,23, 0x0
4/22/2021,10:44:13,16,0.7,30.3507,-89.62942,3.4,333.8,326.3,28,10.1,92,35,24, 0x0,27.9,9.6,5b,31,21, 0x0
4/22/2021,10:44:14,16,0.7,30.35072,-89.62943,3.42,337.8,331,27.9,11.5,92,35,24, 0x0,27.9,11.7,5b,31,21, 0x0
4/22/2021,10:44:15,16,0.7,30.35073,-89.62944,3.26,340.5,334.6,28.1,3,92,35,24, 0x0,28.1,2.4,5b,31,21, 0x0
4/22/2021,10:44:16,16,0.7,30.35074,-89.62945,3.36,343,336.4,28,7.8,92,35,24, 0x0,28,7.7,5b,31,21, 0x0
4/22/2021,10:44:17,16,0.7,30.35076,-89.62945,3.39,345.6,338.9,28,7.5,92,35,24, 0x0,28,8.1,5b,31,21, 0x0
4/22/2021,10:44:18,16,0.7,30.35078,-89.62946,3.38,347.3,341.5,28,7.7,92,35,24, 0x0,28,8,5b,31,21, 0x0
4/22/2021,10:44:19,16,0.7,30.35079,-89.62947,3.41,349.1,344.3,28,7.5,92,35,24, 0x0,28,7.8,5b,31,21, 0x0
4/22/2021,10:44:20,16,0.7,30.35081,-89.62947,3.43,350.1,345,28,7.5,92,35,24, 0x0,28,7.7,5b,31,21, 0x0
4/22/2021,10:44:21,16,0.7,30.35082,-89.62947,3.4,351.3,346.3,28,7.9,92,35,24, 0x0,28,7.7,5b,31,21, 0x0
4/22/2021,10:44:23,16,0.7,30.35084,-89.62948,3.41,352.1,347.9,28,7.8,92,35,24, 0x0,28,7.9,5b,31,21, 0x0
4/22/2021,10:44:24,16,0.7,30.35086,-89.62948,3.45,352.8,348.5,28,7.8,92,35,24, 0x0,28,7.6,5b,31,21, 0x0
4/22/2021,10:44:25,16,0.7,30.35087,-89.62949,3.44,353.2,349.1,28,7.4,92,35,23, 0x0,28,7.2,5b,31,21, 0x0
4/22/2021,10:44:26,16,0.7,30.35089,-89.62949,3.44,353.9,350.2,28,7.7,92,35,23, 0x0,28,7.6,5b,31,21, 0x0
4/22/2021,10:44:27,16,0.7,30.3509,-89.62949,3.43,354.4,351.2,28,7.5,92,35,23, 0x0,28,7.5,5b,31,21, 0x0
4/22/2021,10:44:28,16,0.7,30.35092,-89.6295,3.44,354.6,352.2,28,8,92,35,23, 0x0,28,7.5,5b,31,21, 0x0
4/22/2021,10:44:29,16,0.7,30.35094,-89.6295,3.49,354.5,352.5,28,7.7,92,35,23, 0x0,28,7.2,5b,31,21, 0x0
4/22/2021,10:44:30,16,0.7,30.35096,-89.6295,3.47,354.1,352,28,7,92,35,23, 0x0,28,7,5b,31,21, 0x0
4/22/2021,10:44:31,16,0.7,30.35097,-89.6295,3.45,353.8,351.3,28,7.3,92,35,23, 0x0,28,7,5b,31,21, 0x0
4/22/2021,10:44:32,16,0.7,30.35099,-89.62951,3.45,353.4,351.3,28,7.6,92,35,23, 0x0,28,7.2,5b,31,21, 0x0
4/22/2021,10:44:33,16,0.7,30.35101,-89.62951,3.47,353.1,351.8,28,7.4,92,35,23, 0x0,28,7,5b,31,21, 0x0
4/22/2021,10:44:34,16,0.7,30.35102,-89.62951,3.46,352.3,351.3,28,7.4,92,35,23, 0x0,28,7,5b,31,21, 0x0
4/22/2021,10:44:35,16,0.7,30.35104,-89.62951,3.45,351.9,350.6,28,7.4,92,35,23, 0x0,28,7,5b,31,21, 0x0
4/22/2021,10:44:36,16,0.7,30.35105,-89.62952,3.45,351.4,350.1,28,7.5,92,35,23, 0x0,28,7.4,5b,31,21, 0x0
4/22/2021,10:44:37,16,0.7,30.35107,-89.62952,3.45,350.9,349.7,28,7.5,92,35,23, 0x0,28,6.8,5b,31,21, 0x0
4/22/2021,10:44:38,16,0.7,30.35109,-89.62952,3.48,350.4,349.2,28,7,92,35,23, 0x0,28,6.9,5b,31,21, 0x0
