Date (mm/dd/yyyy),Time,Num Satellites,Position Uncertainty (m),Latitude (Deg N),Longitude (Deg W),Speed (kts),Heading (Deg N),Course (Deg N),OCB Temp (C),port On,port rudder position, port throttle cmd,stbd On,stbd rudder position, stbd throttle cmd,Volts port,Amps port,charge (%) port,StatorTemp (C) port,PCB Temp (C) port,Error Code port,Volts stbd,Amps stbd,charge (%) stbd,StatorTemp (C) stbd,PCB Temp (C) stbd,Error Code stbd
11/20/2021,18:13:26,16,0.7,30.30308,-89.08349,1.02,251.5,268.4,49.3,1,-17,0,1,-18,0,27.4,0,78,21,17, 0x0,27.3,0,78,20,17, 0x0
11/20/2021,18:13:27,16,0.7,30.30308,-89.0835,1.14,252.1,255.1,49.3,1,-21,0,1,-18,0,27.4,0,78,21,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:28,16,0.7,30.30307,-89.08351,1.14,252.4,253.2,49.3,0,-13,0,0,-18,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
11/20/2021,18:13:29,16,0.7,30.30307,-89.08351,0.98,253.4,243.4,49.3,0,-17,0,0,-18,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
11/20/2021,18:13:30,16,0.7,30.30307,-89.08352,1.26,253.8,263,49.3,0,-13,0,0,-18,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
11/20/2021,18:13:31,16,0.7,30.30307,-89.08352,1.17,254.2,274.1,49.3,0,-17,0,0,-14,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
11/20/2021,18:13:32,16,0.7,30.30307,-89.08353,1.21,255.2,264.1,49.1,0,-29,0,0,-14,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
11/20/2021,18:13:33,16,0.7,30.30307,-89.08354,1.12,255.1,254.1,49.3,0,-17,0,0,-18,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
11/20/2021,18:13:34,16,0.7,30.30307,-89.08354,0.99,256.7,265.2,49.3,1,-17,0,1,-14,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
11/20/2021,18:13:35,16,0.7,30.30307,-89.08355,1.26,256,266.9,49.3,1,-21,0,1,-10,0,27.4,0,0,0,0, 0x0,27.3,0,0,0,0, 0x0
11/20/2021,18:13:36,16,0.7,30.30307,-89.08356,1.24,257.4,254.5,49.1,1,-21,0,1,-14,0,27.3,0,78,21,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:37,16,0.7,30.30307,-89.08356,0.79,256.8,271.3,49.3,1,-21,0,1,-14,0,27.4,0,78,21,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:38,16,0.7,30.30306,-89.08357,1.71,256.2,260.8,49.3,1,-17,0,1,-18,0,27.4,0,78,21,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:39,16,0.7,30.30306,-89.08358,0.68,255.8,259.8,49.3,1,-17,0,1,-14,0,27.4,0,78,21,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:40,16,0.7,30.30306,-89.08358,1.7,256.4,263.6,49.3,1,-21,0,1,-10,0,27.4,0,78,21,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:41,16,0.7,30.30306,-89.08359,1.08,256.7,264.4,49.1,1,-21,0,1,-14,0,27.4,0,78,21,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:42,16,0.7,30.30306,-89.0836,1.25,256.8,253,49.3,1,-13,0,1,-10,0,27.4,0,78,21,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:43,16,0.7,30.30306,-89.0836,0.99,256.2,262.5,49.3,1,-17,0,1,-10,0,27.4,0,78,21,17, 0x0,27.3,0,78,20,17, 0x0
11/20/2021,18:13:44,16,0.7,30.30306,-89.08361,1.49,254.7,263.2,49.1,1,-21,0,1,-18,0,27.4,0,78,21,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:45,16,0.7,30.30306,-89.08361,1.08,254.5,254.8,49.3,1,-13,0,1,-22,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:46,16,0.7,30.30306,-89.08362,0.76,254,267.3,49.3,1,-13,0,1,-18,0,27.3,0,78,21,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:48,16,0.7,30.30306,-89.08363,1.82,253.1,262.3,49.3,1,-21,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:49,16,0.7,30.30306,-89.08363,0.81,254,241.1,49.3,1,-13,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:50,16,0.7,30.30306,-89.08364,1.3,253.9,269.9,49.3,1,-17,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:51,16,0.7,30.30306,-89.08365,1.61,254.4,275.4,49.1,1,-17,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:52,16,0.7,30.30305,-89.08365,1.05,256.3,255.8,49.3,1,-17,0,1,-18,0,27.4,0,78,20,17, 0x0,27.3,0,78,20,17, 0x0
11/20/2021,18:13:53,16,0.7,30.30306,-89.08366,1.05,256.4,282.3,49.3,1,-13,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:54,16,0.7,30.30305,-89.08367,1.74,255.3,256.9,49.3,1,-21,0,1,-14,0,27.4,0,78,20,17, 0x0,27.3,0,78,20,17, 0x0
11/20/2021,18:13:55,16,0.7,30.30305,-89.08367,0.64,254.4,255.8,49.1,1,-17,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:56,16,0.7,30.30305,-89.08368,1.34,253.5,264.9,49.3,1,-17,0,1,-18,0,27.3,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:57,16,0.7,30.30305,-89.08369,1.35,251.7,270.5,49.3,1,-17,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:13:58,16,0.7,30.30305,-89.08369,0.92,252.9,257.2,49.1,1,-21,0,1,-18,0,27.3,0,78,20,17, 0x0,27.3,0,78,20,17, 0x0
11/20/2021,18:13:59,16,0.7,30.30305,-89.0837,1.26,254.7,253.7,49.3,1,-17,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:00,16,0.7,30.30305,-89.08371,0.96,256.7,269.9,49.1,1,-21,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:01,16,0.7,30.30305,-89.08371,1.07,257.3,250.8,49.3,1,-17,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:02,16,0.7,30.30305,-89.08372,0.75,258.5,249.9,49.1,1,-13,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:03,16,0.7,30.30305,-89.08372,1.29,258.5,275.2,49.3,1,-17,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:05,16,0.7,30.30305,-89.08373,1.1,258,269.6,49.3,1,-13,0,1,-6,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:06,16,0.7,30.30305,-89.08373,0.89,258.7,249.2,49.3,1,-21,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:07,16,0.7,30.30305,-89.08374,1.15,259.3,250.8,49.3,1,-21,0,1,-22,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:08,16,0.7,30.30305,-89.08374,1.05,258.8,284.8,49.1,1,-13,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:09,16,0.7,30.30305,-89.08375,1.23,259.3,258.5,49.3,1,-13,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:10,16,0.7,30.30305,-89.08376,0.74,258.7,264.6,49.3,1,-21,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:11,16,0.7,30.30305,-89.08376,1.18,258.8,267.1,49.1,1,-17,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:12,16,0.7,30.30305,-89.08377,1.22,258.4,253.6,49.1,1,-21,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:13,16,0.7,30.30305,-89.08377,0.51,258.5,276.5,49.3,1,-17,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:14,16,0.7,30.30304,-89.08378,1.44,257.6,265.7,49.1,1,-21,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:15,16,0.7,30.30304,-89.08378,0.84,257,260.7,49.3,1,-13,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:16,16,0.7,30.30304,-89.08379,0.8,257.6,256.8,49.3,1,-21,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:17,16,0.7,30.30304,-89.0838,1.34,257.4,264.3,49.3,1,-17,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:18,16,0.7,30.30304,-89.0838,0.73,256.9,247.9,49.3,1,-21,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:19,16,0.7,30.30304,-89.08381,0.86,257.9,262.9,49.3,1,-17,0,1,-18,0,27.3,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:20,16,0.7,30.30304,-89.08381,1.71,257.1,265.9,49.3,1,-21,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:21,16,0.7,30.30304,-89.08382,0.86,257.5,248.9,49.3,1,-21,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:22,16,0.7,30.30304,-89.08383,0.92,258.3,262.1,49.1,1,-17,0,1,-22,0,27.3,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:23,16,0.7,30.30304,-89.08383,1.55,258.4,265.3,49.1,1,-17,0,1,-18,0,27.4,0,78,20,17, 0x0,27.3,0,78,20,17, 0x0
11/20/2021,18:14:24,16,0.7,30.30304,-89.08384,0.93,258.9,262.8,49.3,1,-17,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:26,16,0.7,30.30304,-89.08384,1.18,258.3,276.3,49.3,1,-9,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:27,16,0.7,30.30304,-89.08385,1,258.6,267.8,49.3,1,-17,0,1,-18,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:28,16,0.7,30.30304,-89.08385,1.21,258.1,260.5,49.1,1,-21,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:29,16,0.7,30.30304,-89.08386,0.86,257,272.7,49.3,1,-13,0,1,-14,0,27.4,0,78,20,17, 0x0,27.4,0,78,20,17, 0x0
11/20/2021,18:14:30,16,0.7,30.30304,-89.08386,1.1,256.8,249.7,49.3,1,-21,-1000,1,-14,1000,27.4,0,78,20,17, 0x0,27.3,0,78,20,17, 0x0
11/20/2021,18:14:31,16,0.7,30.30304,-89.08387,0.96,250.1,275.5,49.1,1,-5,-1000,1,-30,1000,27.2,10.9,78,20,17, 0x0,27.2,12.9,78,20,17, 0x0
11/20/2021,18:14:32,16,0.7,30.30303,-89.08388,1.71,226,251.8,49.1,1,-9,-1000,1,-26,858,26.6,42.6,78,20,18, 0x0,26.6,46.3,78,20,18, 0x0
11/20/2021,18:14:33,16,0.7,30.30303,-89.08388,1.19,198.5,217.4,49.3,1,-9,-569,1,-26,605,26.6,40.5,78,20,19, 0x0,26.6,46.5,78,20,19, 0x0
11/20/2021,18:14:34,16,0.7,30.30303,-89.08389,1.28,172.6,212.7,49.1,1,-9,-425,1,-30,389,26.6,40.8,78,21,20, 0x0,26.6,47,78,20,20, 0x0
